ID,x0,x1,class
0,7.679657,9.215101,1
1,21.037832,8.539807,1
2,7.356289,23.461398,1
3,-1.097064,17.785728,0
4,18.081921,18.873421,1
5,16.999875,11.396593,1
6,22.793284,-5.230466,1
7,1.800584,1.172722,0
8,2.010135,28.009854,0
9,-0.509132,14.802723,0
10,7.877147,19.244575,0
11,3.242681,21.171965,0
12,2.158277,-0.542868,0
13,1.335904,1.063166,0
14,-1.117322,3.233895,0
15,18.974514,9.237228,1
16,10.507141,18.598401,1
17,0.351822,2.075606,1
18,20.110074,4.863103,1
19,16.519713,-10.907391,1
20,-3.777327,28.504935,0
21,17.405839,-2.199435,1
22,25.203033,5.966892,1
23,13.50858,5.297669,1
24,24.312528,-13.489503,1
25,2.02542,29.566645,0
26,-0.080426,17.182791,0
27,2.50801,-0.57424,0
28,22.178478,0.979735,1
29,1.158706,3.581562,0
30,18.17083,18.954868,1
31,20.859422,0.55049,1
32,-0.021602,1.671165,0
33,23.146608,-4.49193,1
34,18.389642,28.499913,1
35,32.418628,-19.410806,1
36,-3.708842,8.085576,0
37,12.504857,22.873216,1
38,20.08198,14.017612,1
39,21.381092,12.979264,0
40,20.357394,14.563698,1
41,4.087198,27.837812,0
42,17.069294,26.311779,1
43,11.368404,16.64031,1
44,9.649167,15.408972,1
45,3.360011,0.43082,0
46,17.371852,27.465225,1
47,1.132522,2.542295,0
48,1.832012,4.005502,0
49,17.353183,23.479515,1
50,27.22971,-12.107638,1
51,-1.812393,2.596222,0
52,2.497158,-0.335431,0
53,31.891049,-24.590765,1
54,14.898526,27.597496,1
55,5.557132,14.527233,0
56,19.302006,9.971699,1
57,20.134401,12.864014,1
58,22.09998,16.069996,1
59,-0.360435,16.465135,0
60,5.15353,-1.272894,0
61,20.617919,13.440024,1
62,2.340768,2.251074,0
63,5.691878,-5.578986,0
64,-7.05606,14.005392,0
65,16.568225,1.369171,1
66,3.04342,-3.804905,0
67,0.265315,1.548219,0
68,12.898364,12.444399,1
69,18.994604,15.736656,1
70,0.588549,33.441988,0
71,-0.095009,4.402778,0
72,19.200562,-1.520203,1
73,2.689608,-1.817563,0
74,17.936391,30.9381,1
75,-7.84577,30.642104,0
76,3.64456,21.93231,0
77,1.031099,33.972638,0
78,6.296329,15.754612,0
79,11.674743,7.537262,1
80,5.644657,14.141178,1
81,0.637883,3.289644,0
82,20.829777,-0.815319,1
83,-0.707529,5.262257,0
84,-0.44218,32.998814,0
85,2.720937,2.520915,0
86,0.95892,1.228592,0
87,18.982994,17.920212,1
88,2.757529,-2.747218,0
89,24.263884,3.123065,1
90,4.753073,1.034212,0
91,18.755428,-6.276602,1
92,16.755744,20.047945,1
93,2.004083,4.106497,1
94,26.714497,0.409298,1
95,5.774694,19.43591,0
96,2.179455,4.183217,0
97,16.294125,25.720465,1
98,19.903479,17.280522,1
99,18.410621,3.177313,1
100,-1.132299,22.415756,0
101,18.142196,17.420295,1
102,2.484631,-0.096168,0
103,4.68834,-4.470032,0
104,28.351413,-17.578373,1
105,6.246855,3.36929,1
106,17.65511,21.53134,1
107,20.983182,5.225629,1
108,-3.018759,7.93491,0
109,0.475007,27.529619,0
110,1.975891,-2.519909,0
111,6.637168,-6.058432,0
112,17.488021,17.568473,1
113,18.377507,18.677393,1
114,19.215873,19.353139,1
115,18.573233,16.63721,1
116,3.795901,-0.459762,0
117,-0.737229,9.247986,0
118,2.146729,1.321801,0
119,16.47955,2.883282,1
120,0.310094,2.928262,0
121,14.414976,9.884957,1
122,4.28463,39.004765,1
123,0.687744,17.657231,0
124,14.033666,31.556416,1
125,4.46775,19.236226,0
126,16.397457,34.546514,1
127,12.784412,10.064713,0
128,15.90103,-5.43576,1
129,18.966934,12.107179,1
130,6.184767,10.023327,0
131,8.745739,6.68519,0
132,4.005708,-5.107028,0
133,9.975637,19.37935,0
134,0.415314,0.053956,0
135,-4.55407,8.002147,0
136,18.773897,13.409737,1
137,17.460955,-3.563933,1
138,19.12101,9.40556,1
139,13.510045,9.364778,1
140,-0.194312,4.65393,0
141,14.678857,4.5499,1
142,25.730158,-17.508963,1
143,18.722404,3.611683,1
144,1.905228,1.46859,0
145,17.255366,19.32074,1
146,23.495375,-4.841935,1
147,5.074743,7.87232,0
148,18.147252,20.935692,1
149,-4.182964,4.554332,0
150,18.567414,20.222995,1
151,18.790854,12.521985,1
152,-0.359529,5.631991,0
153,16.795464,23.779259,1
154,11.841393,18.4944,1
155,34.25776,-10.248322,1
156,5.713899,-5.616524,0
157,-1.761107,10.943405,0
158,8.871057,18.155369,1
159,-1.391493,18.039652,0
160,-1.912707,15.601875,0
161,-1.333951,10.104476,0
162,-8.752475,5.377684,0
163,-0.786011,-0.490698,0
164,20.765406,4.691313,1
165,-1.737464,4.77648,0
166,17.873519,17.705368,1
167,-0.324477,2.895703,0
168,0.454926,3.557605,0
169,23.683855,0.484703,1
170,10.995537,6.524941,1
171,19.95175,12.932775,1
172,31.060509,-11.713377,1
173,-4.286494,23.018484,0
174,20.061534,17.796202,1
175,19.042448,9.936431,1
176,5.598175,-4.284449,0
177,24.085148,-9.955689,1
178,0.023748,14.690369,0
179,1.620402,-2.923514,0
180,3.037516,14.341667,0
181,17.891882,11.539359,1
182,23.248611,-6.944507,1
183,19.173043,16.725628,1
184,1.675653,1.297117,0
185,16.003542,1.972938,1
186,19.974984,21.876962,1
187,1.785767,-0.319092,0
188,2.273297,0.466604,0
189,17.821743,17.501433,1
190,15.900794,-5.565782,1
191,2.801462,0.648465,0
192,31.52773,-15.224723,1
193,-1.303744,4.83973,0
194,26.261132,-1.470289,1
195,16.876683,25.458778,1
196,5.506664,-0.619638,0
197,16.030325,21.435185,1
198,21.055332,-4.105737,1
199,-1.271278,3.119163,0
200,19.18731,7.675719,1
201,19.684264,18.521952,1
202,4.207431,21.670853,0
203,-2.473871,20.351347,0
204,19.499431,10.543907,1
205,3.866047,15.576993,0
206,23.834802,-13.397561,1
207,4.621946,17.762383,0
208,29.279783,-7.91818,1
209,-1.022461,2.400421,0
210,2.680064,32.601431,0
211,17.457964,24.255598,1
212,18.604343,18.306029,1
213,24.143296,-1.95946,1
214,10.905027,26.942111,0
215,-2.313007,20.617335,0
216,12.258852,13.110218,1
217,18.055395,5.471194,1
218,1.061077,0.885614,0
219,20.595017,6.408061,1
220,4.723224,17.846715,0
221,2.589766,0.833302,0
222,29.371713,-6.356197,1
223,3.685661,9.246667,0
224,18.22907,14.420544,1
225,15.800938,15.640252,1
226,11.916876,28.552445,1
227,2.413679,-3.862656,0
228,15.811877,14.129788,1
229,16.226397,3.753765,1
230,22.30097,-7.193381,1
231,19.912669,4.632849,1
232,-2.158356,5.169645,0
233,-1.371244,25.307962,0
234,3.122523,-0.35272,0
235,16.137124,35.267504,1
236,-1.50568,32.567452,0
237,21.2765,12.985125,1
238,3.790943,0.595798,0
239,-2.146048,9.134396,0
240,-2.809688,5.709045,0
241,-0.239656,3.67056,0
242,3.090025,2.191073,0
243,17.140112,15.565525,1
244,15.929691,20.131111,1
245,-6.280349,11.903528,0
246,-0.420412,17.218749,0
247,0.807788,5.021261,0
248,-0.245003,6.422164,0
249,18.050568,8.339976,1
250,0.019933,1.900351,0
251,-1.249735,19.178374,0
252,21.5994,6.982255,1
253,-0.441209,18.863461,0
254,3.005031,-1.447441,0
255,15.790903,6.738212,1
256,7.625005,12.205265,1
