feature_0,feature_1,feature_2,target
22,20,7,2
40,26,41,0
49,13,39,0
2,14,44,0
37,40,46,0
18,21,9,2
32,14,15,0
24,25,33,2
49,3,33,0
28,17,38,3
24,47,37,0
1,17,26,2
49,22,38,1
30,41,23,0
47,10,30,0
27,17,19,0
14,16,20,1
17,35,41,0
5,44,28,0
26,18,47,0
40,12,12,0
7,7,25,2
10,35,3,2
49,47,30,0
18,49,24,3
11,25,23,0
11,10,10,0
26,26,27,3
23,35,41,0
15,36,13,0
20,23,18,1
41,22,15,0
35,41,15,0
8,31,38,0
28,49,9,1
6,28,24,1
15,14,10,1
29,22,45,0
5,47,1,0
40,25,16,2
31,6,39,0
28,37,38,1
25,31,13,0
2,17,19,0
48,18,11,0
39,0,9,1
17,25,5,0
25,4,36,0
35,42,42,0
39,7,38,3
32,36,2,1
16,34,2,1
22,25,35,3
10,14,7,2
18,22,29,1
12,20,19,1
12,34,7,2
43,43,45,0
16,7,23,0
1,15,35,0
22,22,3,0
38,46,33,1
36,32,41,0
38,25,21,1
22,31,18,0
9,48,30,0
20,41,0,0
13,0,29,2
24,6,20,0
2,20,36,0
0,4,32,0
6,15,42,0
10,19,39,0
25,3,5,0
42,38,1,2
29,23,29,0
5,12,4,1
2,45,44,0
13,32,13,0
43,47,35,1
35,2,16,0
4,33,44,0
20,16,15,0
41,37,6,0
4,6,32,0
15,5,18,1
32,43,28,0
18,17,3,1
36,4,48,2
19,39,1,0
23,26,3,1
28,25,8,3
33,49,1,2
11,39,40,0
39,36,11,0
41,34,45,0
23,36,40,1
7,7,38,3
14,49,26,3
19,27,25,2
34,29,22,0
11,8,21,2
34,9,40,2
37,19,45,0
6,4,1,2
40,20,38,1
38,14,44,0
47,37,8,0
1,30,0,0
38,21,23,1
43,22,21,1
34,23,4,2
25,14,35,1
39,44,47,0
27,6,14,0
45,39,27,1
43,45,36,0
4,9,32,0
37,9,47,0
41,35,28,0
25,27,36,0
47,8,5,1
14,34,0,0
10,31,26,1
20,27,21,3
21,2,12,0
48,43,25,0
5,38,29,2
23,21,33,3
36,22,6,0
10,14,23,2
13,37,45,0
28,14,38,3
27,31,27,1
30,11,23,0
42,46,46,0
47,30,20,0
27,8,20,0
43,49,14,3
46,38,49,2
27,33,3,0
5,2,31,0
23,26,35,3
40,28,47,0
3,20,23,0
11,19,0,0
37,2,33,1
6,41,18,0
4,9,12,0
26,39,16,0
44,37,41,0
28,48,5,0
15,21,15,0
1,20,10,0
9,17,5,0
28,14,49,3
32,4,48,2
11,31,30,0
10,30,30,0
10,18,1,0
39,42,16,0
19,1,25,2
37,22,27,2
32,42,12,0
27,32,30,0
21,5,20,0
38,47,49,0
11,10,15,0
29,49,22,0
37,28,39,0
37,19,3,0
45,34,33,1
24,49,8,0
8,25,32,0
39,33,33,4
19,36,11,0
43,34,48,1
8,28,14,0
4,19,40,0
14,5,27,1
21,24,30,0
29,49,12,0
42,49,38,3
12,39,0,0
32,1,1,2
26,18,31,0
14,25,12,1
48,45,11,0
10,41,27,1
24,17,30,0
21,48,47,0
1,19,3,0
30,31,23,0
19,1,31,0
39,26,43,1
12,9,10,0
19,14,21,2
23,5,5,0
32,27,46,0
33,42,8,0
29,18,42,0
4,2,47,0
12,30,14,1
2,37,30,0
9,7,45,0
8,30,34,0
20,2,13,0
17,12,18,0
16,14,17,3
9,29,2,1
49,21,9,2
8,15,20,0
48,34,45,0
29,2,26,0
33,0,36,0
43,39,19,0
2,35,37,0
9,32,12,0
9,11,6,0
46,23,5,1
8,3,11,0
20,6,8,0
19,21,21,3
3,48,2,2
43,20,38,1
13,32,17,0
10,22,43,0
37,8,15,0
32,35,16,2
13,3,13,0
48,27,7,2
39,35,8,3
32,25,49,1
18,30,23,0
27,43,49,1
24,35,15,0
16,33,12,0
23,46,42,0
24,39,27,0
22,6,18,1
8,34,15,0
15,9,31,0
47,21,0,1
29,5,23,0
15,14,4,3
32,35,0,1
6,2,24,3
36,48,39,0
47,42,11,0
44,33,33,3
0,20,2,2
49,43,13,0
30,35,7,3
15,21,42,0
37,16,47,0
31,44,1,1
15,29,43,0
22,49,6,1
48,34,23,0
8,20,28,0
17,30,45,0
43,35,1,1
49,41,15,0
34,18,42,0
23,9,25,2
18,7,24,3
3,39,47,0
30,0,14,1
19,14,8,0
37,31,31,0
28,28,1,1
35,30,19,0
36,2,43,0
28,41,33,2
1,8,43,0
20,6,26,2
14,35,28,0
47,39,28,0
29,3,20,0
14,10,10,0
2,32,44,0
15,9,33,2
49,21,31,0
35,6,4,0
48,15,31,0
34,38,47,0
30,38,29,2
19,39,5,0
26,43,16,1
15,25,34,0
9,6,0,0
1,49,1,0
33,34,29,0
2,30,11,0
32,5,6,0
1,3,48,0
18,15,40,1
4,3,45,0
22,38,15,0
5,27,38,3
48,48,13,0
22,35,13,0
44,30,41,0
44,19,10,0
30,15,3,0
28,18,10,0
36,47,33,0
18,12,36,0
16,42,23,0
36,17,15,0
11,35,32,0
20,35,42,0
43,37,42,0
26,46,9,0
9,44,8,0
22,37,18,1
48,32,40,0
35,10,32,0
1,15,16,0
46,19,11,0
21,8,3,0
9,22,0,0
2,26,0,0
17,0,14,0
29,14,44,0
38,38,45,0
37,7,30,0
49,12,20,0
37,20,40,2
22,49,24,3
48,41,8,1
10,7,9,0
25,7,14,1
22,2,14,1
27,30,3,0
6,35,10,0
22,3,25,2
35,2,25,1
42,12,43,0
12,5,1,0
35,43,0,0
18,34,25,2
49,28,42,0
20,2,32,0
31,3,34,0
32,8,4,2
4,39,21,1
40,13,27,1
41,1,27,2
39,31,14,1
46,23,22,0
27,16,6,0
44,38,12,0
23,15,0,0
12,38,4,2
44,33,34,1
26,32,34,0
15,16,9,1
44,20,35,2
43,15,1,0
48,18,12,0
34,6,24,2
2,27,45,0
42,26,1,1
17,25,33,2
39,13,41,0
46,34,18,0
47,18,25,0
33,2,21,1
33,48,41,0
16,18,6,0
7,45,44,0
5,20,37,0
9,1,26,1
31,28,13,0
47,35,39,0
33,15,4,1
27,18,34,0
11,21,8,3
47,4,9,2
26,15,44,0
5,26,37,0
4,42,18,0
5,7,45,0
40,28,5,0
23,26,49,3
7,27,36,0
6,33,20,1
24,28,0,0
23,26,43,1
9,4,5,0
43,22,9,0
38,15,49,1
43,30,33,0
39,34,43,1
4,20,7,1
27,4,6,0
12,12,40,2
8,11,19,0
14,1,10,0
29,20,32,0
42,22,42,0
34,40,11,0
11,8,16,1
38,39,23,0
6,5,42,0
34,21,21,4
7,21,48,0
11,23,3,0
8,31,45,0
32,8,20,0
21,45,45,0
39,19,27,3
48,0,9,0
28,48,13,0
21,36,19,0
49,49,18,1
10,22,16,0
30,19,7,2
33,27,44,0
28,19,7,3
48,30,40,0
7,9,47,0
19,18,29,2
7,10,47,0
6,30,13,0
8,47,16,0
35,24,43,1
15,6,41,0
49,22,5,0
0,15,1,0
40,37,15,0
25,26,35,1
3,9,35,2
49,14,49,2
43,35,16,2
4,5,8,0
45,49,12,0
27,40,31,0
45,39,11,0
1,10,29,1
11,21,29,3
20,46,26,1
45,11,1,0
4,45,33,1
33,44,7,0
6,19,35,2
32,47,5,0
47,41,39,0
9,19,0,0
19,6,11,0
12,23,49,1
44,25,6,0
29,49,6,1
17,1,2,2
14,18,17,1
8,34,43,0
48,45,47,0
25,4,38,3
3,45,39,0
4,37,18,0
22,41,36,0
4,17,0,0
18,5,46,0
8,22,19,0
14,18,11,0
28,3,42,0
26,8,31,0
34,17,45,0
33,40,13,0
17,4,19,1
29,14,16,2
37,45,5,0
28,30,0,0
33,14,11,0
6,35,25,2
12,44,14,1
47,4,4,4
1,11,4,0
41,24,14,2
23,32,17,1
27,10,7,0
24,22,29,0
26,38,38,2
5,47,21,0
45,49,35,2
21,46,1,0
21,46,25,1
40,48,39,0
13,23,24,0
3,44,6,0
7,9,25,1
11,4,9,1
13,32,21,1
28,17,28,0
47,1,33,3
38,21,44,0
29,16,27,3
39,3,5,0
20,10,38,0
22,1,22,0
7,23,28,0
17,40,43,0
22,16,44,0
20,21,4,2
38,37,32,0
11,22,44,0
39,8,19,1
28,5,35,0
26,37,5,0
11,44,41,0
8,33,46,0
2,21,45,0
9,11,3,0
43,19,8,1
16,44,47,0
21,20,2,1
0,31,39,0
42,4,21,3
2,15,4,0
42,43,8,1
22,29,1,1
19,47,26,0
28,32,15,0
13,47,17,2
19,32,42,0
31,25,20,1
12,3,38,2
16,9,45,0
38,29,35,2
1,39,14,0
36,27,19,1
17,27,17,2
44,6,3,0
20,45,23,0
14,25,37,0
12,34,24,1
3,17,38,3
18,46,5,0
41,32,34,0
39,14,2,1
13,28,7,1
9,41,21,1
21,46,21,2
2,15,9,0
1,20,29,1
45,32,4,0
0,33,26,3
44,49,30,0
43,26,39,0
38,43,33,2
31,9,21,2
4,16,2,0
36,22,19,0
9,37,28,0
32,20,40,2
9,4,12,1
40,44,12,0
4,10,38,0
40,43,43,0
46,12,1,1
16,38,42,0
48,19,35,2
26,14,7,1
24,49,24,1
25,8,1,1
10,30,36,0
43,38,34,1
41,45,31,0
12,21,46,0
32,2,12,2
16,18,48,1
4,6,42,0
43,46,45,0
2,35,12,0
41,13,28,0
36,24,33,2
10,30,27,2
8,41,33,1
24,45,9,0
9,19,8,0
0,24,31,0
2,11,40,0
33,10,16,0
14,39,46,0
16,12,21,0
34,2,0,1
29,6,17,0
19,35,13,0
2,46,41,0
44,1,2,2
37,34,46,0
12,36,7,0
11,3,37,0
36,30,19,0
37,21,47,1
17,44,28,0
0,27,32,0
12,38,10,0
30,26,37,0
30,28,25,1
2,47,49,0
12,49,22,0
42,4,46,0
18,48,40,1
2,12,34,0
11,46,28,0
8,35,42,0
47,1,22,0
38,12,8,1
16,10,26,1
35,36,45,0
8,15,34,0
6,3,8,1
44,12,14,1
17,42,40,0
20,34,46,0
9,16,11,0
6,18,33,3
28,9,14,2
3,0,29,1
9,16,19,0
6,38,41,0
23,17,34,0
18,29,47,0
7,48,15,0
28,22,38,1
44,46,10,0
36,7,4,3
38,33,28,0
13,46,45,0
36,15,26,1
41,19,21,2
40,5,14,0
30,32,26,1
41,3,25,1
14,45,45,0
19,40,41,0
13,32,19,0
26,24,26,1
26,6,37,0
41,40,45,0
17,35,43,1
45,16,32,0
27,22,37,0
25,5,47,0
48,30,33,1
23,34,30,0
28,3,11,0
41,33,24,3
47,13,22,0
18,37,26,2
42,6,4,2
17,40,36,0
18,17,24,3
2,6,41,0
47,15,34,0
48,28,22,0
40,21,48,1
42,29,6,0
0,35,41,0
48,18,20,0
16,34,29,0
22,10,32,0
8,13,47,0
0,22,3,0
5,46,44,0
12,39,48,0
33,22,18,0
5,22,18,0
42,45,38,1
8,12,12,0
7,28,34,0
22,35,29,2
22,32,14,0
31,17,5,0
48,31,31,0
37,3,35,2
31,3,8,2
44,24,18,1
44,44,16,1
22,48,14,1
7,29,10,0
27,8,16,1
20,3,38,1
27,6,29,0
36,0,22,0
4,22,5,0
28,19,28,0
46,38,14,1
48,9,14,1
39,48,16,1
15,33,30,1
1,8,36,0
36,12,48,0
40,39,28,0
3,23,9,0
37,39,13,0
27,29,26,2
20,11,9,0
30,45,31,0
17,32,5,0
37,28,46,0
46,12,27,1
29,45,2,1
17,30,40,0
24,27,49,2
15,9,15,0
17,43,25,0
47,17,30,1
45,4,21,3
8,47,36,0
16,23,13,0
9,11,42,0
5,42,24,1
29,31,49,1
20,5,46,0
23,38,36,0
18,47,18,0
1,11,47,0
24,7,46,0
9,16,45,0
48,24,8,2
24,44,33,1
45,33,48,1
9,32,15,0
11,20,14,0
48,13,41,0
25,13,4,2
23,40,23,0
6,33,15,0
14,24,6,0
33,9,37,0
41,41,11,0
37,15,18,0
24,44,38,1
33,30,44,0
6,8,14,1
7,7,9,2
12,12,47,0
33,8,43,0
16,25,35,2
1,40,3,1
28,26,17,2
0,36,0,0
2,42,45,0
42,40,48,1
49,47,37,0
16,7,26,1
28,4,10,0
33,28,25,0
30,14,42,0
11,41,26,1
15,38,7,3
7,40,12,0
26,23,28,0
26,1,34,0
31,23,27,2
13,3,30,0
14,25,10,0
16,16,9,2
35,41,30,0
36,26,32,0
37,2,25,3
17,30,28,0
30,41,45,0
3,4,4,3
38,29,38,2
32,44,47,0
33,22,22,0
34,11,21,2
31,26,36,0
7,15,12,0
32,36,19,0
46,8,13,0
13,2,44,1
48,6,33,2
37,8,40,2
34,45,18,0
41,32,41,0
42,43,28,0
15,33,15,1
47,26,36,0
43,45,43,0
20,41,10,0
48,41,39,0
6,36,44,0
39,4,5,1
25,13,26,1
44,30,3,0
21,39,38,0
36,24,9,1
1,4,37,0
18,8,29,1
38,30,47,0
20,1,46,0
41,24,3,1
39,19,18,1
28,7,24,2
8,15,38,0
19,7,44,1
23,41,27,1
26,24,5,0
32,3,45,0
10,12,47,0
4,16,29,2
22,47,28,0
42,12,0,0
14,32,47,0
3,33,8,1
21,22,9,0
30,26,39,0
10,38,16,1
11,5,47,0
19,0,10,0
1,3,46,0
22,0,0,0
12,17,1,2
42,24,13,0
21,4,30,0
3,21,20,1
29,43,47,0
48,10,47,0
49,2,17,1
15,34,41,0
1,12,20,0
2,45,34,0
49,24,33,1
46,22,49,1
25,46,34,0
10,2,8,1
5,43,12,0
27,9,6,0
10,41,35,0
30,40,26,2
3,9,15,0
41,21,39,0
40,32,39,0
36,48,17,2
44,32,31,0
27,13,6,0
10,29,44,1
9,16,18,0
49,32,33,1
21,18,34,0
13,36,28,0
26,33,1,2
2,27,49,2
17,37,9,0
6,27,34,0
37,7,28,0
30,33,8,1
28,8,15,0
24,42,44,0
1,30,18,0
24,21,41,0
9,8,39,0
38,17,16,2
45,49,25,1
46,43,32,0
21,2,45,0
20,13,3,0
4,5,35,0
8,8,21,3
13,0,25,1
4,18,33,2
0,9,15,0
4,40,3,0
16,3,14,1
29,30,24,1
9,47,11,0
2,45,4,0
36,15,7,1
39,27,8,2
14,38,27,2
31,33,17,3
27,16,38,1
1,32,47,0
28,8,38,3
7,27,8,2
9,35,4,3
33,9,13,0
30,8,3,1
16,17,25,3
41,6,2,1
45,28,32,0
13,21,1,1
37,15,12,0
40,47,27,1
7,49,31,0
40,45,30,0
45,14,48,1
29,20,23,0
27,26,14,2
45,37,9,0
25,47,46,0
23,27,44,1
8,12,2,2
7,37,6,0
13,35,41,1
24,48,40,0
22,22,19,0
6,10,9,0
29,23,47,0
30,1,5,0
45,46,27,2
46,15,5,0
29,42,37,0
18,23,35,2
36,2,37,0
1,48,22,0
41,10,40,1
33,6,22,0
4,4,19,1
26,31,24,1
19,44,14,1
1,39,2,0
15,15,24,2
20,7,45,0
48,34,9,1
28,36,6,0
21,19,9,0
30,43,15,0
1,2,31,0
9,41,34,0
6,41,23,0
29,30,45,0
38,47,8,0
15,2,23,0
27,7,6,0
19,46,41,0
25,12,45,0
5,36,22,0
31,43,3,0
32,19,9,1
17,20,21,1
11,36,19,0
18,11,41,0
23,35,14,1
17,39,32,0
44,15,45,0
48,1,47,0
38,3,44,0
29,1,19,1
4,14,1,0
9,1,24,2
45,4,43,1
10,3,17,2
43,33,10,1
20,11,24,1
17,19,12,0
12,29,27,2
31,28,21,1
20,27,14,2
4,19,0,0
41,18,5,0
31,24,35,3
9,4,18,1
40,15,31,0
49,42,6,0
22,3,16,1
39,2,38,3
8,25,30,0
21,10,34,0
38,35,20,0
18,48,36,0
28,42,22,0
8,14,40,1
41,12,26,1
7,27,26,2
49,41,48,0
34,4,36,0
48,49,44,0
37,3,9,0
32,40,39,0
46,19,35,1
16,10,24,2
24,4,23,1
3,25,37,0
3,35,27,3
37,15,2,2
7,37,28,0
42,36,31,0
14,25,47,0
21,31,16,0
24,13,34,0
33,32,5,0
12,30,41,0
13,31,38,1
42,41,2,2
14,43,43,0
24,38,28,0
33,12,27,0
33,31,46,0
41,38,41,0
32,12,5,0
26,8,36,0
1,10,26,0
36,6,25,2
12,38,0,0
32,12,44,0
2,21,26,2
8,15,39,0
35,21,20,0
7,25,7,1
3,24,6,1
7,20,46,0
11,20,48,1
8,28,22,0
43,32,29,1
45,36,6,0
15,47,0,0
41,15,14,1
26,36,39,0
12,20,0,0
17,45,13,0
35,10,19,0
42,40,2,2
26,21,35,3
11,1,36,0
11,1,43,0
46,11,25,1
47,7,48,2
30,4,0,1
26,6,34,0
17,20,18,0
48,16,33,1
35,42,21,0
26,15,1,0
3,6,35,0
38,28,27,0
40,5,11,0
1,12,19,0
47,1,20,1
42,28,11,0
26,11,24,1
25,32,13,0
10,38,12,0
24,21,25,1
7,38,40,2
40,22,1,0
40,31,37,0
28,24,13,1
49,5,11,0
43,11,7,1
46,5,16,1
24,47,21,1
12,49,41,0
34,32,43,0
22,32,39,0
36,39,28,0
24,43,30,0
19,46,13,0
45,46,29,1
2,17,21,3
23,8,25,2
15,38,40,3
30,43,10,0
47,33,45,0
18,20,29,1
18,26,30,1
26,36,3,0
4,34,26,1
30,18,23,1
14,44,35,0
33,39,45,0
1,35,16,2
47,49,49,3
9,19,6,0
28,9,6,1
4,43,15,0
28,0,14,1
1,28,38,0
36,0,13,0
47,0,1,1
16,32,48,0
26,7,37,0
37,48,24,2
38,26,26,2
9,35,6,0
12,42,48,0
20,25,18,0
35,37,6,0
25,6,49,1
13,25,0,2
13,17,19,1
35,23,47,0
11,6,8,1
35,15,7,0
46,2,44,0
29,4,48,1
45,47,23,0
46,40,45,0
7,3,21,1
47,8,21,3
26,18,1,1
39,4,44,1
1,17,39,0
13,31,39,0
31,46,44,0
46,33,34,2
46,26,49,3
48,21,39,0
42,0,39,0
33,31,43,0
5,7,34,1
48,33,9,1
42,12,6,0
22,49,28,0
23,47,47,0
12,14,43,0
28,39,45,0
23,13,0,0
41,13,16,0
10,47,39,0
47,47,41,0
31,42,29,0
16,25,33,1
8,13,46,0
19,12,19,0
46,42,4,1
35,40,10,0
42,22,16,1
13,15,39,0
40,0,1,0
35,36,2,0
20,44,6,0
45,28,22,0
6,47,12,0
10,35,21,4
12,23,5,0
4,21,22,0
13,16,6,1
39,34,49,2
45,3,5,0
18,45,2,0
10,4,17,3
34,10,39,0
18,7,1,2
24,4,13,0
49,45,49,0
6,40,30,0
1,33,44,0
38,33,44,0
38,27,43,0
13,16,4,2
18,4,4,3
18,13,32,0
46,41,7,2
27,5,32,0
15,32,32,0
13,31,10,0
32,4,14,2
20,37,23,0
40,13,44,0
46,3,16,1
5,6,1,1
14,4,29,1
31,25,19,1
42,29,45,0
9,28,9,0
2,4,45,1
37,18,12,1
48,14,18,0
1,48,20,1
40,14,29,2
28,40,16,2
7,10,30,0
16,23,31,0
42,41,36,0
25,4,25,2
22,34,10,0
31,14,15,0
4,14,45,0
42,44,8,1
24,21,8,1
14,15,16,0
32,33,39,0
26,37,6,0
3,35,19,2
6,14,42,0
27,49,29,2
39,10,47,0
35,3,33,2
24,27,39,0
21,30,38,0
18,44,29,0
34,27,26,2
42,6,37,0
22,38,16,2
12,29,4,2
20,12,37,0
8,49,8,0
45,19,18,0
14,47,24,1
37,40,48,0
18,8,4,2
35,47,35,1
48,41,41,0
46,49,46,0
22,36,23,0
45,6,27,1
23,47,42,0
23,6,49,2
28,23,13,0
5,8,33,1
18,18,12,0
14,11,32,0
42,14,19,0
28,18,45,0
31,35,5,0
25,27,23,1
22,45,27,1
33,9,42,0
19,19,48,2
17,40,38,2
43,26,9,2
9,32,39,0
